hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon
56,61,65,48,45,38,grass,,chespin
61,78,95,56,58,57,grass,,quilladin
88,107,122,74,75,64,grass,fighting,chesnaught
40,45,40,62,60,60,fire,,fennekin
59,59,58,90,70,73,fire,,braixen
75,69,72,114,100,104,fire,psychic,delphox
41,56,40,62,44,71,water,,froakie
54,63,52,83,56,97,water,,frogadier
72,95,67,103,71,122,water,dark,greninja
38,36,38,32,36,57,normal,,bunnelby
85,56,77,50,77,78,normal,ground,diggersby
45,50,43,40,38,62,normal,flying,fletchling
62,73,55,56,52,84,fire,flying,fletchinder
78,81,71,74,69,126,fire,flying,talonflame
38,35,40,27,25,35,bug,,scatterbug
45,22,60,27,30,29,bug,,spewpa
80,52,50,90,50,89,bug,flying,vivillon
62,50,58,73,54,72,fire,normal,litleo
86,68,72,109,66,106,fire,normal,pyroar
44,38,39,61,79,42,fairy,,flabebe
54,45,47,75,98,52,fairy,,floette
78,65,68,112,154,75,fairy,,florges
66,65,48,62,57,52,grass,,skiddo
123,100,62,97,81,68,grass,,gogoat
67,82,62,46,48,43,fighting,,pancham
95,124,78,69,71,58,fighting,dark,pangoro
75,80,60,65,90,102,normal,,furfrou
62,48,54,63,60,68,psychic,,espurr
74,48,76,83,81,104,psychic,,meowstic-male
45,80,100,35,37,28,steel,ghost,honedge
59,110,150,45,49,35,steel,ghost,doublade
60,50,140,50,140,60,steel,ghost,aegislash-shield
78,52,60,63,65,23,fairy,,spritzee
101,72,72,99,89,29,fairy,,aromatisse
62,48,66,59,57,49,fairy,,swirlix
82,80,86,85,75,72,fairy,,slurpuff
53,54,53,37,46,45,dark,psychic,inkay
86,92,88,68,75,73,dark,psychic,malamar
42,52,67,39,56,50,rock,water,binacle
72,105,115,54,86,68,rock,water,barbaracle
50,60,60,60,60,30,poison,water,skrelp
65,75,90,97,123,44,poison,dragon,dragalge
50,53,62,58,63,44,water,,clauncher
71,73,88,120,89,59,water,,clawitzer
44,38,33,61,43,70,electric,normal,helioptile
62,55,52,109,94,109,electric,normal,heliolisk
58,89,77,45,45,48,rock,dragon,tyrunt
82,121,119,69,59,71,rock,dragon,tyrantrum
77,59,50,67,63,46,rock,ice,amaura
123,77,72,99,92,58,rock,ice,aurorus
95,65,65,110,130,60,fairy,,sylveon
78,92,75,74,63,118,fighting,flying,hawlucha
67,58,57,81,67,101,electric,fairy,dedenne
50,50,150,50,150,50,rock,fairy,carbink
45,50,35,55,75,40,dragon,,goomy
68,75,53,83,113,60,dragon,,sliggoo
90,100,70,110,150,80,dragon,,goodra
57,80,91,80,87,75,steel,fairy,klefki
43,70,48,50,60,38,ghost,grass,phantump
85,110,76,65,82,56,ghost,grass,trevenant
49,66,70,44,55,51,ghost,grass,pumpkaboo-average
65,90,122,58,75,84,ghost,grass,gourgeist-average
55,69,85,32,35,28,ice,,bergmite
95,117,184,44,46,28,ice,,avalugg
40,30,35,45,40,55,flying,dragon,noibat
85,70,80,97,80,123,flying,dragon,noivern
126,131,95,131,98,99,fairy,,xerneas
126,131,95,131,98,99,dark,flying,yveltal
108,100,121,81,95,95,dragon,ground,zygarde-50
50,100,150,100,150,50,rock,fairy,diancie
80,110,60,150,130,70,psychic,ghost,hoopa
80,110,120,130,90,70,fire,water,volcanion
