hp,attack,defense,special-attack,special-defense,speed,Pokemon
45,49,49,65,65,45,bulbasaur
60,62,63,80,80,60,ivysaur
80,82,83,100,100,80,venusaur
39,52,43,60,50,65,charmander
58,64,58,80,65,80,charmeleon
78,84,78,109,85,100,charizard
44,48,65,50,64,43,squirtle
59,63,80,65,80,58,wartortle
79,83,100,85,105,78,blastoise
45,30,35,20,20,45,caterpie
50,20,55,25,25,30,metapod
60,45,50,90,80,70,butterfree
40,35,30,20,20,50,weedle
45,25,50,25,25,35,kakuna
65,90,40,45,80,75,beedrill
40,45,40,35,35,56,pidgey
63,60,55,50,50,71,pidgeotto
83,80,75,70,70,101,pidgeot
30,56,35,25,35,72,rattata
55,81,60,50,70,97,raticate
40,60,30,31,31,70,spearow
65,90,65,61,61,100,fearow
35,60,44,40,54,55,ekans
60,95,69,65,79,80,arbok
35,55,40,50,50,90,pikachu
60,90,55,90,80,110,raichu
50,75,85,20,30,40,sandshrew
75,100,110,45,55,65,sandslash
55,47,52,40,40,41,nidoran-f
70,62,67,55,55,56,nidorina
90,92,87,75,85,76,nidoqueen
46,57,40,40,40,50,nidoran-m
61,72,57,55,55,65,nidorino
81,102,77,85,75,85,nidoking
70,45,48,60,65,35,clefairy
95,70,73,95,90,60,clefable
38,41,40,50,65,65,vulpix
73,76,75,81,100,100,ninetales
115,45,20,45,25,20,jigglypuff
140,70,45,85,50,45,wigglytuff
40,45,35,30,40,55,zubat
75,80,70,65,75,90,golbat
45,50,55,75,65,30,oddish
60,65,70,85,75,40,gloom
75,80,85,110,90,50,vileplume
35,70,55,45,55,25,paras
60,95,80,60,80,30,parasect
60,55,50,40,55,45,venonat
70,65,60,90,75,90,venomoth
10,55,25,35,45,95,diglett
35,100,50,50,70,120,dugtrio
40,45,35,40,40,90,meowth
65,70,60,65,65,115,persian
50,52,48,65,50,55,psyduck
80,82,78,95,80,85,golduck
40,80,35,35,45,70,mankey
65,105,60,60,70,95,primeape
55,70,45,70,50,60,growlithe
90,110,80,100,80,95,arcanine
40,50,40,40,40,90,poliwag
65,65,65,50,50,90,poliwhirl
90,95,95,70,90,70,poliwrath
25,20,15,105,55,90,abra
40,35,30,120,70,105,kadabra
55,50,45,135,95,120,alakazam
70,80,50,35,35,35,machop
80,100,70,50,60,45,machoke
90,130,80,65,85,55,machamp
50,75,35,70,30,40,bellsprout
65,90,50,85,45,55,weepinbell
80,105,65,100,70,70,victreebel
40,40,35,50,100,70,tentacool
80,70,65,80,120,100,tentacruel
40,80,100,30,30,20,geodude
55,95,115,45,45,35,graveler
80,120,130,55,65,45,golem
50,85,55,65,65,90,ponyta
65,100,70,80,80,105,rapidash
90,65,65,40,40,15,slowpoke
95,75,110,100,80,30,slowbro
25,35,70,95,55,45,magnemite
50,60,95,120,70,70,magneton
52,90,55,58,62,60,farfetchd
35,85,45,35,35,75,doduo
60,110,70,60,60,110,dodrio
65,45,55,45,70,45,seel
90,70,80,70,95,70,dewgong
80,80,50,40,50,25,grimer
105,105,75,65,100,50,muk
30,65,100,45,25,40,shellder
50,95,180,85,45,70,cloyster
30,35,30,100,35,80,gastly
45,50,45,115,55,95,haunter
60,65,60,130,75,110,gengar
35,45,160,30,45,70,onix
60,48,45,43,90,42,drowzee
85,73,70,73,115,67,hypno
30,105,90,25,25,50,krabby
55,130,115,50,50,75,kingler
40,30,50,55,55,100,voltorb
60,50,70,80,80,150,electrode
60,40,80,60,45,40,exeggcute
95,95,85,125,75,55,exeggutor
50,50,95,40,50,35,cubone
60,80,110,50,80,45,marowak
50,120,53,35,110,87,hitmonlee
50,105,79,35,110,76,hitmonchan
90,55,75,60,75,30,lickitung
40,65,95,60,45,35,koffing
65,90,120,85,70,60,weezing
80,85,95,30,30,25,rhyhorn
105,130,120,45,45,40,rhydon
250,5,5,35,105,50,chansey
65,55,115,100,40,60,tangela
105,95,80,40,80,90,kangaskhan
30,40,70,70,25,60,horsea
55,65,95,95,45,85,seadra
45,67,60,35,50,63,goldeen
80,92,65,65,80,68,seaking
30,45,55,70,55,85,staryu
60,75,85,100,85,115,starmie
40,45,65,100,120,90,mr-mime
70,110,80,55,80,105,scyther
65,50,35,115,95,95,jynx
65,83,57,95,85,105,electabuzz
65,95,57,100,85,93,magmar
65,125,100,55,70,85,pinsir
75,100,95,40,70,110,tauros
20,10,55,15,20,80,magikarp
95,125,79,60,100,81,gyarados
130,85,80,85,95,60,lapras
48,48,48,48,48,48,ditto
55,55,50,45,65,55,eevee
130,65,60,110,95,65,vaporeon
65,65,60,110,95,130,jolteon
65,130,60,95,110,65,flareon
65,60,70,85,75,40,porygon
35,40,100,90,55,35,omanyte
70,60,125,115,70,55,omastar
30,80,90,55,45,55,kabuto
60,115,105,65,70,80,kabutops
80,105,65,60,75,130,aerodactyl
160,110,65,65,110,30,snorlax
90,85,100,95,125,85,articuno
90,90,85,125,90,100,zapdos
90,100,90,125,85,90,moltres
41,64,45,50,50,50,dratini
61,84,65,70,70,70,dragonair
91,134,95,100,100,80,dragonite
106,110,90,154,90,130,mewtwo
100,100,100,100,100,100,mew
